StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,1_traits_1,1_traits_2,1_traits_3,1_traits_4,1_traits_5,1_age _1,2_traits_1,2_traits_2,2_traits_3,2_traits_4,2_traits_5,2_age _1,3_traits_1,3_traits_2,3_traits_3,3_traits_4,3_traits_5,3_age _1,4_traits_1,4_traits_2,4_traits_3,4_traits_4,4_traits_5,4_age _1,5_traits_1,5_traits_2,5_traits_3,5_traits_4,5_traits_5,5_age _1,6_traits_1,6_traits_2,6_traits_3,6_traits_4,6_traits_5,6_age _1,7_traits_1,7_traits_2,7_traits_3,7_traits_4,7_traits_5,7_age _1,8_traits_1,8_traits_2,8_traits_3,8_traits_4,8_traits_5,8_age _1,9_traits_1,9_traits_2,9_traits_3,9_traits_4,9_traits_5,9_age _1,10_traits_1,10_traits_2,10_traits_3,10_traits_4,10_traits_5,10_age _1,11_traits_1,11_traits_2,11_traits_3,11_traits_4,11_traits_5,11_age _1,12_traits_1,12_traits_2,12_traits_3,12_traits_4,12_traits_5,12_age _1,13_traits_1,13_traits_2,13_traits_3,13_traits_4,13_traits_5,13_age _1,14_traits_1,14_traits_2,14_traits_3,14_traits_4,14_traits_5,14_age _1,15_traits_1,15_traits_2,15_traits_3,15_traits_4,15_traits_5,15_age _1,16_traits_1,16_traits_2,16_traits_3,16_traits_4,16_traits_5,16_age _1,17_traits_1,17_traits_2,17_traits_3,17_traits_4,17_traits_5,17_age _1,18_traits_1,18_traits_2,18_traits_3,18_traits_4,18_traits_5,18_age _1,19_traits_1,19_traits_2,19_traits_3,19_traits_4,19_traits_5,19_age _1,20_traits_1,20_traits_2,20_traits_3,20_traits_4,20_traits_5,20_age _1,1_traits_1,1_traits_2,1_traits_3,1_traits_4,1_traits_5,1_age_1,2_traits_1,2_traits_2,2_traits_3,2_traits_4,2_traits_5,2_age_1,3_traits_1,3_traits_2,3_traits_3,3_traits_4,3_traits_5,3_age_1,4_traits_1,4_traits_2,4_traits_3,4_traits_4,4_traits_5,4_age_1,5_traits_1,5_traits_2,5_traits_3,5_traits_4,5_traits_5,5_age_1,6_traits_1,6_traits_2,6_traits_3,6_traits_4,6_traits_5,6_age_1,7_traits_1,7_traits_2,7_traits_3,7_traits_4,7_traits_5,7_age_1,8_traits_1,8_traits_2,8_traits_3,8_traits_4,8_traits_5,8_age_1,9_traits_1,9_traits_2,9_traits_3,9_traits_4,9_traits_5,9_age_1,10_traits_1,10_traits_2,10_traits_3,10_traits_4,10_traits_5,10_age_1,11_traits_1,11_traits_2,11_traits_3,11_traits_4,11_traits_5,11_age_1,12_traits_1,12_traits_2,12_traits_3,12_traits_4,12_traits_5,12_age_1,13_traits_1,13_traits_2,13_traits_3,13_traits_4,13_traits_5,13_age_1,14_traits_1,14_traits_2,14_traits_3,14_traits_4,14_traits_5,14_age_1,15_traits_1,15_traits_2,15_traits_3,15_traits_4,15_traits_5,15_age_1,16_traits_1,16_traits_2,16_traits_3,16_traits_4,16_traits_5,16_age_1,17_traits_1,17_traits_2,17_traits_3,17_traits_4,17_traits_5,17_age_1,18_traits_1,18_traits_2,18_traits_3,18_traits_4,18_traits_5,18_age_1,19_traits_1,19_traits_2,19_traits_3,19_traits_4,19_traits_5,19_age_1,20_traits_1,20_traits_2,20_traits_3,20_traits_4,20_traits_5,20_age_1,1_traits_1,1_traits_2,1_traits_3,1_traits_4,1_traits_5,1_traits_DO,1_age_1,2_traits_1,2_traits_2,2_traits_3,2_traits_4,2_traits_5,2_traits_DO,2_age_1,3_traits_1,3_traits_2,3_traits_3,3_traits_4,3_traits_5,3_traits_DO,3_age_1,4_traits_1,4_traits_2,4_traits_3,4_traits_4,4_traits_5,4_traits_DO,4_age_1,5_traits_1,5_traits_2,5_traits_3,5_traits_4,5_traits_5,5_traits_DO,5_age_1,6_traits_1,6_traits_2,6_traits_3,6_traits_4,6_traits_5,6_traits_DO,6_age_1,7_traits_1,7_traits_2,7_traits_3,7_traits_4,7_traits_5,7_traits_DO,7_age_1,8_traits_1,8_traits_2,8_traits_3,8_traits_4,8_traits_5,8_traits_DO,8_age_1,9_traits_1,9_traits_2,9_traits_3,9_traits_4,9_traits_5,9_traits_DO,9_age_1,10_traits_1,10_traits_2,10_traits_3,10_traits_4,10_traits_5,10_traits_DO,10_age_1,11_traits_1,11_traits_2,11_traits_3,11_traits_4,11_traits_5,11_traits_DO,11_age_1,12_traits_1,12_traits_2,12_traits_3,12_traits_4,12_traits_5,12_traits_DO,12_age_1,13_traits_1,13_traits_2,13_traits_3,13_traits_4,13_traits_5,13_traits_DO,13_age_1,14_traits_1,14_traits_2,14_traits_3,14_traits_4,14_traits_5,14_traits_DO,14_age_1,15_traits_1,15_traits_2,15_traits_3,15_traits_4,15_traits_5,15_traits_DO,15_age_1,16_traits_1,16_traits_2,16_traits_3,16_traits_4,16_traits_5,16_traits_DO,16_age_1,17_traits_1,17_traits_2,17_traits_3,17_traits_4,17_traits_5,17_traits_DO,17_age_1,18_traits_1,18_traits_2,18_traits_3,18_traits_4,18_traits_5,18_traits_DO,18_age_1,19_traits_1,19_traits_2,19_traits_3,19_traits_4,19_traits_5,19_traits_DO,19_age_1,20_traits_1,20_traits_2,20_traits_3,20_traits_4,20_traits_5,20_traits_DO,20_age_1,partAge,sex,sex_4_TEXT,race,race_6_TEXT,FL_8_DO,faces1_DO,faces2_DO,faces3_DO
3/31/22 19:05,3/31/22 19:17,0,47.20.112.74,100,691,1,3/31/22 19:17,R_1o6DcO9FnzQrrrH,,,,,40.75880432,-73.56610107,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,4,5,49,5,1,6,4,5,52,7,4,4,7,7,54,6,3,3,6,5,52,6,1,3,7,7,49,6,1,5,6,7,52,3,1,7,2,7,50,7,1,2,7,5,52,6,1,6,6,7,62,7,2,3,7,7,64,6,7,7,6,7,28,6,5,5,6,6,30,3,1,3,3,2,22,6,7,5,6,7,19,4,7,5,4,5,20,6,3,4,5,6,23,3,1,6,6,5,26,4,2,5,5,6,26,5,1,3,6,7,29,5,2,4,6,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,3,,faces2,,face|traits|age,
4/1/22 8:51,4/1/22 9:01,0,150.210.231.27,100,608,1,4/1/22 9:01,R_2e2K4bYdXyyVg4z,,,,,40.72520447,-73.94400024,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,4,6,3|1|5|4|2,65,6,1,4,5,6,5|3|2|4|1,59,6,1,4,5,5,5|1|3|4|2,50,4,1,4,5,6,3|1|5|4|2,37,5,1,5,6,6,2|4|1|5|3,48,4,1,7,1,7,1|3|5|2|4,57,3,1,5,4,7,2|1|4|5|3,55,4,1,6,4,6,4|1|3|2|5,67,1,1,7,2,3,4|2|5|3|1,45,6,1,4,4,6,2|3|5|4|1,65,6,6,4,6,6,5|4|2|1|3,22,4,5,5,5,5,1|5|3|4|2,23,4,4,4,6,5,1|4|3|5|2,22,6,6,4,6,6,4|2|3|1|5,25,6,7,3,7,6,1|3|5|2|4,22,6,1,4,4,5,3|5|4|1|2,45,4,1,4,5,5,3|4|5|2|1,21,3,1,6,4,6,1|4|5|2|3,39,3,1,5,3,4,1|4|3|5|2,23,5,3,4,4,5,3|4|1|5|2,24,,2,,3,,faces3,,,face |traits|age
4/2/22 12:13,4/2/22 12:19,0,68.129.168.102,100,373,1,4/2/22 12:19,R_1PREc4XeS5foKXt,,,,,40.77059937,-73.92829895,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,7,6,5|3|4|2|1,46,5,1,6,7,4,3|4|1|5|2,54,6,1,3,6,2,3|2|5|1|4,34,4,1,3,5,3,2|3|5|1|4,42,7,2,4,7,6,5|1|3|4|2,39,2,1,7,2,5,5|1|2|3|4,50,5,1,5,2,6,5|2|3|1|4,35,5,1,5,4,6,2|5|3|4|1,52,2,1,7,3,2,1|4|3|2|5,34,6,1,6,4,6,1|2|3|5|4,49,6,2,6,3,3,3|1|2|4|5,24,4,2,1,4,5,5|1|4|2|3,21,5,2,4,7,5,4|5|1|3|2,26,3,1,3,5,4,2|1|3|5|4,21,6,5,6,5,5,1|2|4|3|5,26,2,1,4,3,2,1|3|5|4|2,21,5,5,4,4,3,1|5|2|3|4,35,4,1,5,6,4,4|1|3|2|5,27,2,1,7,3,3,4|2|3|1|5,30,4,1,5,4,4,5|4|1|2|3,25,19,1,,1,,faces3,,,face |traits|age
4/2/22 12:49,4/2/22 12:56,0,69.202.244.246,100,444,1,4/2/22 12:56,R_W1iImu0ESvJ1t2p,,,,,40.69940186,-73.88829803,anonymous,EN,1,6,3,3,6,3,74,5,3,5,5,3,56,4,3,5,6,1,59,5,3,4,3,4,64,6,3,2,6,4,48,5,3,3,3,3,64,7,4,2,2,6,73,2,3,5,3,4,58,3,2,3,4,5,78,4,3,6,3,5,61,4,6,5,5,5,25,2,3,5,2,4,26,4,4,3,6,4,20,6,6,6,6,6,19,4,4,4,4,4,20,1,3,6,2,2,22,6,5,2,3,5,35,6,6,3,6,6,26,3,2,1,3,5,19,3,5,3,3,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,,5,,faces1,face |age |traits,,
4/2/22 19:33,4/2/22 19:45,0,104.28.56.6,100,738,1,4/2/22 19:45,R_20TNLu5OtNMWUCK,,,,,40.74249268,-73.98770142,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,5,5,52,7,2,3,6,4,64,6,5,4,6,5,53,6,3,3,6,7,56,7,3,3,4,3,56,7,1,3,5,7,67,4,2,2,4,5,66,6,2,3,6,6,60,5,3,4,5,7,63,7,2,5,5,7,73,3,6,6,4,4,36,5,6,4,6,5,31,7,5,4,6,4,37,4,6,2,5,5,21,3,6,3,5,4,27,3,3,3,5,4,18,5,3,3,4,6,37,4,5,5,4,5,34,4,3,4,4,4,32,3,3,3,2,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,2,,5,,faces2,,face|age|traits,
4/3/22 14:44,4/3/22 14:51,0,69.114.210.167,100,412,1,4/3/22 14:51,R_RCVlrq1vA186Wwp,,,,,40.62210083,-73.98100281,anonymous,EN,1,5,3,3,5,5,63,5,3,4,5,5,55,5,3,5,4,4,54,4,4,5,4,4,45,4,4,3,5,5,55,5,4,4,6,5,53,5,3,4,4,5,49,5,4,5,4,4,62,5,3,4,5,5,64,4,4,5,3,5,53,4,4,4,5,5,37,4,4,3,4,4,31,4,4,3,5,4,33,4,5,4,4,4,21,5,4,4,5,5,33,4,4,5,5,5,32,4,4,4,4,5,40,5,4,4,5,5,35,4,5,4,5,4,26,4,4,5,4,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,,5,,faces1,face |age |traits,,
4/4/22 9:22,4/4/22 9:28,0,150.210.231.47,100,406,1,4/4/22 9:28,R_ZEMUOG930CrB0BP,,,,,40.72520447,-73.94400024,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,6,5,5,43,5,3,6,6,6,56,5,3,5,4,6,65,5,4,4,5,5,37,5,3,4,4,5,41,4,2,6,3,5,51,3,2,6,3,5,64,4,3,5,5,4,44,4,2,6,3,6,45,5,3,7,6,5,68,4,4,5,4,5,24,6,6,5,6,7,22,5,4,4,4,4,20,5,7,6,6,6,22,4,5,3,4,4,19,4,3,3,4,3,18,4,3,4,3,4,21,4,5,5,3,3,26,6,5,6,6,6,28,4,6,5,4,6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,,1,,faces2,,face|age|traits,
4/4/22 14:28,4/4/22 14:39,0,98.7.27.30,100,628,1,4/4/22 14:39,R_1FbNS8kl8pZzxBN,,,,,40.7961,-73.9513,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1|2|3|4|5,51,3,4,3,4,3,4|1|5|2|3,58,3,3,3,3,3,4|1|2|5|3,45,3,4,3,4,3,4|2|5|1|3,48,3,3,3,3,3,5|3|2|1|4,45,3,3,4,3,3,1|3|5|4|2,56,3,3,4,4,4,3|5|4|2|1,56,3,3,3,3,3,3|4|1|5|2,63,3,3,4,3,3,2|3|1|4|5,61,3,3,3,3,3,2|3|4|1|5,67,3,4,3,3,3,5|2|4|3|1,22,3,4,3,3,3,4|2|3|1|5,28,3,4,3,3,3,3|2|4|5|1,22,3,4,3,3,3,3|2|1|4|5,23,3,4,3,3,3,4|2|5|3|1,32,3,4,3,4,3,3|2|5|1|4,28,3,3,3,3,3,2|3|5|4|1,23,3,4,4,3,3,1|2|3|4|5,33,3,3,3,3,3,2|5|4|1|3,32,3,3,3,3,3,2|3|1|5|4,25,,2,,5,,faces3,,,face |age|traits
4/4/22 15:16,4/4/22 15:24,0,207.237.44.155,100,469,1,4/4/22 15:24,R_1gndylcSsTCslLz,,,,,40.7364,-73.8695,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,6,5,42,3,2,2,4,4,45,3,2,4,3,5,55,5,2,3,5,6,48,3,2,3,4,4,55,3,2,2,4,4,58,3,2,2,2,4,54,2,1,4,2,4,62,2,2,5,2,6,55,4,2,2,5,6,53,4,3,4,3,5,41,5,5,4,5,6,28,5,4,3,4,6,38,3,4,2,5,5,18,3,3,4,3,2,18,4,2,3,3,5,19,4,2,3,3,4,36,3,3,2,2,3,34,5,4,3,5,6,37,4,4,3,4,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,,3,,faces2,,face|age|traits,
4/4/22 16:06,4/4/22 16:12,0,108.6.121.163,100,368,1,4/4/22 16:12,R_3qwhH9hGd0nZXTg,,,,,40.5828,-73.9532,anonymous,EN,1,4,1,4,3,6,72,3,1,4,4,5,48,5,3,5,5,5,62,4,2,3,5,4,55,4,2,4,4,4,56,5,2,3,6,4,59,4,2,5,4,6,61,4,2,6,4,6,76,6,1,4,5,4,68,2,2,7,1,6,58,6,5,3,6,5,29,6,5,4,4,5,34,5,2,2,6,4,35,5,6,4,5,5,25,3,4,6,3,5,37,4,2,2,6,4,28,4,2,3,6,3,45,6,2,1,3,3,35,6,3,2,6,5,24,2,6,3,4,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,,6,,faces1,face |traits|age ,,
4/5/22 13:04,4/5/22 13:14,0,150.210.231.27,100,626,1,4/5/22 13:14,R_sjlb4DppcY5y8xj,,,,,40.7252,-73.944,anonymous,EN,1,4,3,4,5,6,60,5,4,4,5,5,47,3,3,3,3,3,50,5,4,5,5,5,65,4,3,3,5,5,54,4,3,5,4,5,70,4,3,5,5,6,58,4,2,5,3,4,58,4,2,5,3,4,75,3,2,6,2,4,50,4,4,3,4,4,34,4,4,5,4,5,30,3,4,3,4,4,22,4,5,3,5,4,21,3,2,4,3,4,26,4,3,5,4,4,33,4,3,5,4,5,34,3,2,4,3,4,26,4,3,3,5,5,18,4,3,5,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,1,,faces1,face |age |traits,,
4/5/22 21:50,4/5/22 22:06,0,108.54.109.141,100,921,1,4/5/22 22:06,R_1fd2PSFyiTNuu6w,,,,,40.8477,-73.8418,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,6,58,7,7,2,7,5,57,7,6,5,7,7,55,7,7,6,6,7,66,7,6,2,7,6,69,6,6,3,6,6,74,3,2,6,2,4,56,6,4,4,6,5,60,5,5,7,3,6,56,7,6,6,6,7,55,5,5,7,5,6,32,6,7,5,5,6,29,5,6,7,5,5,31,4,7,6,5,6,22,4,6,5,3,4,20,6,6,2,6,7,25,5,6,6,5,5,25,6,7,6,6,7,28,4,5,5,4,5,35,7,5,4,5,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,1,,faces2,,face|traits|age,
4/6/22 7:46,4/6/22 7:59,0,150.210.231.27,100,734,1,4/6/22 7:59,R_2eXLBMBG3shOwxX,,,,,40.7252,-73.944,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,5,5,6,5|3|1|2|4,65,7,3,6,6,7,5|4|1|2|3,50,6,2,5,5,5,4|2|1|5|3,47,6,3,6,6,6,2|3|4|5|1,43,6,2,5,5,5,5|3|2|4|1,45,4,1,5,3,6,5|2|4|1|3,49,5,2,5,2,6,1|3|5|2|4,52,5,2,5,3,6,2|5|3|1|4,62,3,2,3,3,5,1|5|3|4|2,53,6,2,4,5,6,4|1|2|3|5,52,5,4,5,5,5,2|1|3|5|4,24,5,3,5,4,5,5|3|1|4|2,30,6,5,5,6,6,5|3|4|1|2,28,7,4,4,6,6,2|5|3|1|4,21,7,6,6,6,7,3|4|2|5|1,31,4,2,3,4,5,5|1|4|3|2,37,5,5,3,5,6,3|1|5|4|2,23,6,3,4,4,6,3|5|2|4|1,39,3,2,4,3,5,5|3|1|2|4,29,5,6,5,5,6,1|4|5|3|2,24,18,2,,3,,faces3,,,face |traits|age
4/6/22 10:32,4/6/22 10:44,0,70.18.215.97,100,747,1,4/6/22 10:44,R_1DO0N6ZmaJUFiqU,,,,,40.763,-73.9926,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,6,3,1|2|3|5|4,68,4,2,2,5,4,3|4|2|5|1,66,6,2,1,6,6,5|1|4|3|2,56,4,3,6,5,4,3|4|5|1|2,53,4,2,2,4,5,2|1|4|3|5,52,4,3,5,3,7,3|4|2|1|5,55,4,4,3,6,5,4|3|5|2|1,60,4,4,3,6,7,4|3|2|1|5,60,2,3,7,2,4,5|1|2|3|4,63,5,3,4,5,5,2|1|3|4|5,63,3,4,3,4,4,5|4|1|2|3,21,5,5,2,5,5,3|2|5|4|1,25,4,4,5,5,7,4|1|2|5|3,30,4,4,2,6,5,1|4|3|5|2,22,4,6,4,6,5,5|4|2|1|3,29,4,4,2,7,7,3|2|1|4|5,22,5,3,3,3,4,4|5|2|3|1,20,5,5,5,5,5,2|4|1|3|5,27,4,3,4,6,5,5|1|3|4|2,24,4,3,3,4,5,2|5|1|4|3,26,20,1,,4,,faces3,,,face |age|traits
4/6/22 14:08,4/6/22 14:26,0,150.210.231.37,100,1077,1,4/6/22 14:26,R_2OUN3r7gvoGy6Df,,,,,40.7252,-73.944,anonymous,EN,1,7,1,4,7,7,64,4,2,2,4,6,47,5,1,4,5,6,52,5,1,2,5,7,50,4,2,4,5,5,61,5,3,3,5,5,62,6,3,2,7,7,57,6,3,3,6,6,56,5,1,2,5,6,75,1,1,7,1,7,50,6,5,1,3,5,32,3,2,5,3,5,35,5,3,2,6,7,27,4,7,3,5,6,22,4,4,4,5,6,29,6,3,3,4,5,29,6,5,2,6,6,32,7,4,1,6,6,25,5,5,2,7,6,19,2,5,5,3,7,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,,3,,faces1,face |age |traits,,
4/6/22 14:32,4/6/22 14:39,0,150.210.231.37,100,398,1,4/6/22 14:39,R_26hjf4GzVpu8z0c,,,,,40.7252,-73.944,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,6,6,60,4,1,3,5,6,63,6,1,1,6,7,59,6,1,3,5,6,60,6,1,3,6,6,65,6,1,1,5,6,58,3,1,3,1,5,51,3,1,4,2,5,67,5,1,5,4,6,53,4,1,2,4,5,57,5,5,3,5,6,38,7,5,2,6,7,30,5,5,3,6,6,25,6,6,3,6,6,27,5,6,3,6,6,22,5,3,1,5,6,23,4,3,3,4,5,27,3,3,5,3,5,29,5,3,1,5,6,38,5,4,4,5,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,,3,,faces2,,face|age|traits,
